    Ticket_ID,Month,Region,Network_Type,Issue_Type,Priority,Service_Status,Response_Time_hrs,Resolution_Time_hrs,CSAT_Rating
    TKT-0043,Apr,East Zone,TV,Billing Error,High,In Progress,12.74,38.89,3.91
    TKT-0044,Dec,South Zone,TV,Installation Delay,High,In Progress,19.44,71.24,2.58
    TKT-0045,Sep,West Zone,Broadband,Slow Internet,Medium,In Progress,7.35,29.86,3.61
    TKT-0046,Aug,Central Zone,Broadband,Slow Internet,High,Escalated,14.86,46.64,3.36
    TKT-0047,Jul,East Zone,Landline,Installation Delay,Low,Resolved,6.8,33.89,3.89
    TKT-0048,Apr,North Zone,Mobile,Service Outage,High,Escalated,5.72,63.18,3.48
    TKT-0049,Apr,South Zone,Landline,Installation Delay,Medium,Escalated,12.55,65.37,3.58
    TKT-0050,Aug,South Zone,Broadband,Billing Error,Low,SLA Breached,13.63,43.04,3.46
    TKT-0051,Dec,North Zone,Broadband,Dropped Calls,Low,Escalated,19.12,48.43,3.15
    TKT-0052,Jan,South Zone,Landline,Dropped Calls,Medium,In Progress,5.35,56.07,3.98
    TKT-0053,Sep,West Zone,Mobile,Dropped Calls,Medium,Resolved,19.05,31.01,3.4
    TKT-0054,Apr,South Zone,Broadband,Slow Internet,Low,Resolved,15.97,32.35,3.69
    TKT-0055,Jan,Central Zone,Landline,Slow Internet,Low,Resolved,16.1,38.01,3.37
    TKT-0056,Apr,North Zone,Mobile,Dropped Calls,Low,Escalated,10.84,21.38,4.78
    TKT-0057,Sep,East Zone,Landline,Slow Internet,Low,SLA Breached,19.25,76.78,2.18
    TKT-0058,May,Central Zone,TV,Billing Error,High,SLA Breached,15.09,62.71,2.88
    TKT-0059,Jul,North Zone,TV,Dropped Calls,High,In Progress,19.61,79.41,2.15
    TKT-0060,Dec,North Zone,Mobile,Installation Delay,High,Resolved,17.58,48.88,3.18
    TKT-0061,Aug,South Zone,Broadband,Installation Delay,Low,In Progress,7.2,42.87,3.79
    TKT-0062,Jan,West Zone,Broadband,Slow Internet,High,SLA Breached,10.25,55.66,4.0
    TKT-0063,Mar,Central Zone,Landline,Service Outage,Low,Escalated,8.73,35.24,4.45
    TKT-0064,Feb,West Zone,Mobile,Installation Delay,High,Escalated,14.74,62.04,3.36
    TKT-0065,Dec,North Zone,TV,Billing Error,High,Resolved,18.03,39.21,3.42
    TKT-0066,Nov,West Zone,Broadband,Billing Error,Low,Escalated,19.54,55.69,2.8
    TKT-0067,Sep,North Zone,Mobile,Slow Internet,High,In Progress,13.76,68.82,2.51
    TKT-0068,Aug,South Zone,Landline,Billing Error,Medium,SLA Breached,10.3,49.48,3.9
    TKT-0069,Dec,Central Zone,Broadband,Billing Error,Low,In Progress,5.48,29.47,3.72
    TKT-0070,Mar,Central Zone,Mobile,Installation Delay,Low,SLA Breached,13.72,69.68,3.6
    TKT-0071,Oct,South Zone,TV,Dropped Calls,High,Escalated,11.17,60.05,3.34
    TKT-0072,Nov,Central Zone,Mobile,Slow Internet,Medium,Escalated,17.63,69.55,2.96
    TKT-0073,Feb,North Zone,TV,Slow Internet,High,SLA Breached,6.13,50.72,3.36
    TKT-0074,Mar,Central Zone,TV,Dropped Calls,High,Resolved,16.36,45.25,3.36
    TKT-0075,May,North Zone,Mobile,Slow Internet,Low,Resolved,14.09,35.52,3.39
    TKT-0076,Dec,South Zone,Mobile,Installation Delay,Medium,In Progress,17.47,42.86,2.95
    TKT-0077,Jan,West Zone,Broadband,Service Outage,Medium,Escalated,11.05,27.75,3.54
    TKT-0078,Mar,West Zone,Mobile,Service Outage,Medium,In Progress,14.55,52.29,3.14
    TKT-0079,Mar,South Zone,Landline,Slow Internet,Medium,Resolved,16.75,46.58,3.09
    TKT-0080,May,Central Zone,Landline,Installation Delay,High,In Progress,16.53,29.84,3.58
    TKT-0081,May,South Zone,Mobile,Dropped Calls,Medium,Resolved,8.14,47.12,3.66
    TKT-0082,Jul,East Zone,Mobile,Billing Error,High,Escalated,18.11,53.87,3.82
    TKT-0083,Feb,Central Zone,Mobile,No Signal,Low,Resolved,7.53,31.46,4.13
    TKT-0084,Oct,South Zone,Broadband,Service Outage,Medium,Resolved,9.82,24.43,4.41
    TKT-0085,Sep,East Zone,TV,Dropped Calls,High,In Progress,18.02,32.25,3.51
    TKT-0086,Aug,South Zone,Landline,Service Outage,Medium,Resolved,5.94,23.33,4.3
    TKT-0087,Mar,East Zone,TV,Service Outage,Low,Escalated,5.46,58.82,4.1
    TKT-0088,Sep,Central Zone,Landline,Installation Delay,Low,Resolved,17.61,32.07,4.08
    TKT-0089,Dec,North Zone,Broadband,Dropped Calls,High,SLA Breached,10.33,52.77,2.83
    TKT-0090,Jun,South Zone,TV,Slow Internet,Low,In Progress,9.26,37.41,4.1
    TKT-0091,Oct,South Zone,TV,No Signal,High,In Progress,14.09,35.95,3.89
    TKT-0092,Nov,North Zone,TV,No Signal,Low,Escalated,11.16,70.28,3.42
    TKT-0093,Jun,South Zone,Landline,Billing Error,Low,SLA Breached,5.08,63.83,3.14
    TKT-0094,Sep,South Zone,TV,No Signal,Medium,Escalated,17.58,37.83,3.51
    TKT-0095,Oct,West Zone,TV,Billing Error,High,SLA Breached,8.64,24.38,4.62
    TKT-0096,May,East Zone,TV,Billing Error,High,Escalated,13.91,42.37,3.36
    TKT-0097,Aug,South Zone,Broadband,Installation Delay,Medium,Resolved,15.27,29.66,3.76
    TKT-0098,Jun,East Zone,Mobile,Slow Internet,High,In Progress,16.19,46.62,3.72
    TKT-0099,May,East Zone,Broadband,Installation Delay,Low,Escalated,18.9,64.98,2.81
    TKT-0100,Dec,East Zone,Broadband,Dropped Calls,High,Escalated,14.98,51.13,3.19
    TKT-0101,Apr,North Zone,Broadband,Installation Delay,High,In Progress,17.25,49.21,3.52
    TKT-0102,Jun,North Zone,TV,Slow Internet,High,Resolved,18.49,47.68,3.95
    TKT-0103,May,East Zone,TV,No Signal,Medium,In Progress,9.99,56.52,3.82
    TKT-0104,Jan,West Zone,Mobile,No Signal,High,In Progress,16.29,61.64,3.0
    TKT-0105,Nov,North Zone,Mobile,Billing Error,Medium,In Progress,16.44,70.28,2.7
    TKT-0106,Apr,Central Zone,Landline,Billing Error,Low,Resolved,13.1,47.42,3.71
    TKT-0107,Apr,West Zone,Broadband,Installation Delay,Low,Escalated,13.98,52.26,3.21
    TKT-0108,Apr,East Zone,Mobile,Installation Delay,Medium,In Progress,11.01,44.11,3.24
    TKT-0109,Nov,West Zone,Mobile,Dropped Calls,Medium,In Progress,14.17,25.08,3.34
    TKT-0110,Aug,Central Zone,Landline,Installation Delay,High,SLA Breached,10.62,24.07,3.89
    TKT-0111,Mar,Central Zone,Mobile,Slow Internet,Medium,Escalated,11.76,27.42,3.94
    TKT-0112,Aug,Central Zone,TV,Slow Internet,High,Resolved,8.08,57.47,3.31
    TKT-0113,Oct,North Zone,TV,Billing Error,High,In Progress,18.8,46.12,2.91
    TKT-0114,Jan,East Zone,TV,Billing Error,Low,Escalated,8.72,47.6,4.02
    TKT-0115,Apr,Central Zone,Landline,Slow Internet,High,Resolved,13.71,55.32,3.47
    TKT-0116,Dec,Central Zone,Landline,Slow Internet,Low,Resolved,9.65,39.52,4.19
    TKT-0117,Mar,East Zone,Landline,No Signal,Medium,SLA Breached,12.02,53.27,3.19
    TKT-0118,Mar,South Zone,Broadband,Service Outage,Low,Escalated,12.91,49.63,3.65
    TKT-0119,Jan,South Zone,Mobile,Service Outage,Low,Escalated,6.54,33.26,4.09
    TKT-0120,Oct,South Zone,TV,Service Outage,Medium,SLA Breached,17.01,75.96,2.94
    TKT-0121,Feb,Central Zone,Landline,Slow Internet,High,Escalated,8.81,28.62,3.31
    TKT-0122,Sep,Central Zone,TV,No Signal,High,SLA Breached,8.57,23.54,4.13
    TKT-0123,Aug,East Zone,Landline,Billing Error,High,In Progress,8.07,32.73,4.55
    TKT-0124,Feb,North Zone,TV,Dropped Calls,Low,In Progress,17.38,45.53,2.84
    TKT-0125,Jul,West Zone,Landline,Dropped Calls,High,In Progress,16.61,44.75,3.53
    TKT-0126,Oct,West Zone,Landline,Slow Internet,Medium,In Progress,12.31,67.04,3.13
    TKT-0127,Jan,South Zone,TV,Slow Internet,Medium,Resolved,13.12,54.79,3.62
    TKT-0128,Nov,West Zone,Mobile,Installation Delay,High,Resolved,15.37,59.53,3.36
    TKT-0129,Jun,South Zone,Landline,Dropped Calls,Medium,SLA Breached,12.47,25.83,3.97
    TKT-0130,Dec,Central Zone,Mobile,Service Outage,High,Escalated,18.5,72.19,3.65
    TKT-0131,Aug,South Zone,Landline,Dropped Calls,High,Resolved,7.63,63.35,4.11
    TKT-0132,Oct,South Zone,Landline,Service Outage,Low,Resolved,6.24,46.4,4.3
    TKT-0133,Oct,Central Zone,Broadband,No Signal,Low,SLA Breached,18.73,64.81,2.82
    TKT-0134,Jul,Central Zone,Landline,Slow Internet,Medium,SLA Breached,13.1,31.2,3.79
    TKT-0135,Apr,East Zone,Broadband,Service Outage,Low,Resolved,7.32,48.49,4.46
    TKT-0136,Aug,North Zone,Broadband,Slow Internet,High,Escalated,13.97,46.95,3.62
    TKT-0137,Mar,East Zone,Mobile,Dropped Calls,Low,In Progress,5.08,20.23,4.11
    TKT-0138,Jan,Central Zone,Broadband,Installation Delay,High,Escalated,12.82,27.16,4.08
    TKT-0139,Aug,East Zone,Landline,Dropped Calls,High,Escalated,15.86,57.72,2.84
    TKT-0140,Sep,Central Zone,Mobile,Installation Delay,Low,Resolved,7.71,46.11,3.54
    TKT-0141,Oct,Central Zone,TV,Slow Internet,Low,SLA Breached,6.73,37.82,3.84
    TKT-0142,Apr,East Zone,Mobile,No Signal,Medium,Escalated,5.56,45.37,3.73
    TKT-0143,Mar,West Zone,Landline,Dropped Calls,Medium,Escalated,15.44,42.43,3.6
    TKT-0144,Aug,North Zone,Landline,Dropped Calls,Medium,Resolved,16.07,52.08,3.29
    TKT-0145,Oct,West Zone,Mobile,Installation Delay,Low,Escalated,18.05,29.11,3.59
    TKT-0146,Mar,East Zone,TV,Service Outage,High,In Progress,6.33,18.21,4.06
    TKT-0147,Dec,North Zone,Landline,Billing Error,Low,Resolved,16.52,47.41,2.91
    TKT-0148,Jan,East Zone,Broadband,Service Outage,Medium,In Progress,9.44,31.12,4.17
    TKT-0149,Sep,North Zone,Broadband,Service Outage,Low,Resolved,6.64,36.22,4.26
    TKT-0150,Dec,East Zone,Mobile,Dropped Calls,Medium,Resolved,16.15,29.4,3.46
    TKT-0151,Aug,West Zone,Broadband,Service Outage,High,Escalated,12.69,34.22,3.95
    TKT-0152,Jan,South Zone,TV,Service Outage,High,Resolved,14.45,35.27,3.87
    TKT-0153,Sep,East Zone,Landline,Installation Delay,High,Resolved,8.9,44.66,3.76
    TKT-0154,Mar,East Zone,Mobile,Dropped Calls,High,Escalated,5.52,60.27,3.72
    TKT-0155,May,South Zone,TV,Slow Internet,Low,Escalated,6.94,61.38,3.47
    TKT-0156,May,East Zone,TV,Installation Delay,Low,In Progress,8.9,55.07,3.31
    TKT-0157,Oct,South Zone,Mobile,Dropped Calls,High,SLA Breached,6.14,58.7,4.76
    TKT-0158,Mar,South Zone,TV,Installation Delay,Low,Resolved,9.01,62.94,3.76
    TKT-0159,Mar,West Zone,Broadband,No Signal,Low,SLA Breached,15.63,67.48,2.77
    TKT-0160,Nov,West Zone,TV,Dropped Calls,Low,Resolved,18.08,29.54,3.25
    TKT-0161,Jul,South Zone,Mobile,No Signal,High,In Progress,18.63,28.69,3.12
    TKT-0162,Dec,South Zone,Landline,Dropped Calls,Medium,Escalated,19.72,61.31,2.89
    TKT-0163,Feb,West Zone,Landline,Dropped Calls,Low,SLA Breached,6.6,54.65,3.6
    TKT-0164,Dec,West Zone,TV,Service Outage,High,Resolved,16.83,35.52,3.55
    TKT-0165,Apr,South Zone,Landline,No Signal,High,SLA Breached,6.01,45.12,3.59
    TKT-0166,Nov,South Zone,Mobile,Service Outage,Low,Resolved,11.69,54.07,3.97
    TKT-0167,Apr,Central Zone,Landline,Dropped Calls,Low,Resolved,9.85,44.28,3.55
    TKT-0168,Oct,South Zone,Mobile,Installation Delay,High,SLA Breached,11.39,43.96,3.37
    TKT-0169,Jul,Central Zone,Broadband,No Signal,Medium,Escalated,15.21,57.94,3.34
    TKT-0170,May,Central Zone,TV,Billing Error,Medium,Escalated,9.11,68.31,3.75
    TKT-0171,Jan,South Zone,Landline,Service Outage,Low,In Progress,8.2,19.76,4.64
    TKT-0172,Dec,East Zone,Landline,Billing Error,Medium,Resolved,18.03,66.86,2.55
    TKT-0173,Nov,South Zone,Landline,No Signal,High,SLA Breached,9.41,65.0,2.95
    TKT-0174,Apr,West Zone,Broadband,Service Outage,High,SLA Breached,5.96,45.06,3.5
    TKT-0175,May,South Zone,Landline,No Signal,High,Resolved,5.17,18.79,4.56
    TKT-0176,Jun,East Zone,Broadband,Slow Internet,High,SLA Breached,16.7,28.68,4.41
    TKT-0177,Jun,East Zone,Landline,Slow Internet,High,SLA Breached,19.8,36.92,2.67
    TKT-0178,Apr,North Zone,Mobile,Installation Delay,High,In Progress,13.01,67.14,3.24
    TKT-0179,Jan,Central Zone,Landline,Installation Delay,Medium,Escalated,6.99,45.37,3.6
    TKT-0180,Feb,South Zone,TV,Billing Error,High,SLA Breached,14.55,59.87,3.09
    TKT-0181,Jun,North Zone,Mobile,Slow Internet,Low,Escalated,13.12,58.57,3.25
    TKT-0182,Apr,East Zone,TV,No Signal,Medium,In Progress,16.76,50.81,3.11
    TKT-0183,Sep,West Zone,Mobile,Service Outage,Low,In Progress,5.91,28.27,4.54
    TKT-0184,Jul,Central Zone,TV,No Signal,Medium,In Progress,15.79,37.21,3.75
    TKT-0185,Aug,North Zone,TV,No Signal,Medium,Escalated,15.2,28.81,3.43
    TKT-0186,Oct,Central Zone,Landline,Billing Error,High,SLA Breached,16.03,64.42,3.16
    TKT-0187,Dec,South Zone,Broadband,No Signal,High,SLA Breached,5.44,35.22,3.69
    TKT-0188,Apr,South Zone,TV,No Signal,Medium,In Progress,10.39,39.58,3.33
    TKT-0189,Feb,Central Zone,TV,Slow Internet,Low,In Progress,15.74,71.19,3.19
    TKT-0190,Feb,Central Zone,Broadband,Service Outage,High,Resolved,8.71,62.25,3.73
    TKT-0191,Aug,North Zone,Landline,Installation Delay,Low,In Progress,14.78,40.39,3.27
    TKT-0192,May,North Zone,Landline,Billing Error,High,Escalated,11.81,33.61,3.94
    TKT-0193,Mar,South Zone,Broadband,Installation Delay,Medium,Resolved,11.46,33.9,3.41
    TKT-0194,Jun,West Zone,Landline,Slow Internet,Low,Resolved,10.35,47.03,3.44
    TKT-0195,Jan,North Zone,Landline,Billing Error,Low,Escalated,13.37,50.37,3.59
    TKT-0196,Oct,Central Zone,Broadband,No Signal,Medium,Resolved,19.01,44.82,3.44
    TKT-0197,Jan,East Zone,Mobile,Billing Error,Medium,SLA Breached,19.8,78.06,2.43
    TKT-0198,Aug,East Zone,Mobile,Billing Error,Medium,SLA Breached,6.89,23.53,4.16
    TKT-0199,Apr,South Zone,Mobile,Billing Error,Low,SLA Breached,19.55,34.25,3.64
    TKT-0200,May,South Zone,Broadband,Installation Delay,Low,In Progress,5.26,27.47,3.7
    TKT-0201,Oct,North Zone,Landline,No Signal,High,In Progress,18.78,58.81,2.83
    TKT-0202,Dec,South Zone,Mobile,Service Outage,Low,Resolved,18.0,77.67,2.26
    TKT-0203,Sep,Central Zone,Broadband,Slow Internet,Low,SLA Breached,14.76,63.02,3.25
    TKT-0204,Feb,South Zone,Broadband,Slow Internet,Low,Escalated,18.03,46.81,3.09
    TKT-0205,Jun,North Zone,Broadband,Slow Internet,Medium,Escalated,13.45,42.47,2.96
    TKT-0206,Jan,East Zone,Landline,Service Outage,Medium,Escalated,14.05,57.46,3.01
    TKT-0207,Oct,South Zone,Mobile,Slow Internet,Low,Resolved,17.95,53.9,3.34
    TKT-0208,Oct,North Zone,Landline,Dropped Calls,Medium,SLA Breached,13.7,50.38,3.48
    TKT-0209,Nov,South Zone,Landline,No Signal,Low,Resolved,17.34,48.88,3.28
    TKT-0210,Mar,West Zone,Broadband,Dropped Calls,Medium,Escalated,6.52,40.81,3.88
    TKT-0211,May,West Zone,Mobile,No Signal,High,Escalated,12.98,52.03,3.41
    TKT-0212,Feb,North Zone,Broadband,Billing Error,Medium,Resolved,12.84,29.0,4.02
    TKT-0213,Dec,South Zone,TV,Dropped Calls,Low,Escalated,9.43,59.1,3.79
    TKT-0214,Jun,North Zone,Landline,Dropped Calls,Medium,Escalated,19.27,59.35,3.09
    TKT-0215,Jun,Central Zone,Mobile,Billing Error,High,In Progress,8.18,48.73,3.43
    TKT-0216,Aug,North Zone,Mobile,No Signal,High,SLA Breached,9.12,60.25,3.63
    TKT-0217,Dec,South Zone,Broadband,Installation Delay,Low,SLA Breached,7.25,38.45,4.13
    TKT-0218,Dec,South Zone,Broadband,Dropped Calls,High,In Progress,5.35,47.45,4.12
    TKT-0219,Dec,East Zone,Mobile,Slow Internet,Medium,Resolved,13.92,48.76,3.73
    TKT-0220,Jun,Central Zone,TV,Slow Internet,High,Escalated,19.87,36.29,2.91
    TKT-0221,Mar,West Zone,Mobile,Service Outage,Medium,SLA Breached,9.11,23.08,4.33
    TKT-0222,Nov,North Zone,TV,Billing Error,High,Resolved,17.48,60.96,3.41
    TKT-0223,Dec,East Zone,Landline,Dropped Calls,Medium,SLA Breached,14.76,51.41,3.76
    TKT-0224,Jun,South Zone,TV,Billing Error,Medium,In Progress,13.37,59.9,3.7
    TKT-0225,Apr,West Zone,Mobile,Billing Error,High,Resolved,14.52,62.26,3.33
    TKT-0226,Sep,West Zone,Broadband,Billing Error,Low,SLA Breached,10.74,26.73,4.37
    TKT-0227,Mar,Central Zone,Landline,Billing Error,High,Resolved,15.07,29.72,3.51
    TKT-0228,Jan,Central Zone,Landline,Billing Error,Medium,SLA Breached,15.63,27.44,3.97
    TKT-0229,Jan,South Zone,Broadband,Installation Delay,High,Resolved,10.19,32.14,3.56
    TKT-0230,Jul,South Zone,Landline,Installation Delay,Low,In Progress,18.79,53.64,3.15
    TKT-0231,Jun,West Zone,Broadband,Billing Error,Medium,SLA Breached,18.96,34.78,3.6
    TKT-0232,Aug,South Zone,Mobile,Service Outage,Medium,Escalated,16.85,42.08,3.11
    TKT-0233,Sep,Central Zone,TV,Installation Delay,Low,In Progress,8.35,66.22,3.27
    TKT-0234,Feb,North Zone,Broadband,Service Outage,High,SLA Breached,14.1,31.06,3.74
    TKT-0235,Jun,Central Zone,Landline,No Signal,Low,Resolved,17.38,60.7,3.14
    TKT-0236,Apr,North Zone,TV,Billing Error,High,SLA Breached,16.65,32.75,3.94
    TKT-0237,Dec,Central Zone,TV,Service Outage,Medium,Resolved,6.58,48.62,3.7
    TKT-0238,Dec,East Zone,TV,No Signal,High,Escalated,7.88,28.47,4.52
    TKT-0239,Nov,South Zone,Broadband,Slow Internet,Low,Escalated,7.56,21.29,4.48
    TKT-0240,Jul,West Zone,Broadband,Billing Error,Low,SLA Breached,17.21,57.97,2.92
    TKT-0241,Apr,Central Zone,Landline,Billing Error,Medium,Escalated,15.86,65.46,2.6
    TKT-0242,Mar,East Zone,Landline,Service Outage,Medium,Escalated,16.0,64.47,3.44
    TKT-0243,Jul,South Zone,Mobile,No Signal,High,In Progress,16.86,55.97,3.52
    TKT-0244,May,North Zone,Broadband,Dropped Calls,Medium,In Progress,14.44,34.38,3.53
    TKT-0245,May,Central Zone,Landline,Billing Error,High,Escalated,8.99,51.29,4.22
    TKT-0246,May,South Zone,Mobile,Billing Error,Medium,SLA Breached,8.65,51.24,3.71
    TKT-0247,Mar,North Zone,Broadband,Billing Error,High,In Progress,10.89,68.7,3.17
    TKT-0248,Feb,West Zone,Landline,Dropped Calls,High,In Progress,18.95,41.6,3.31
    TKT-0249,Aug,Central Zone,Landline,No Signal,Low,In Progress,10.8,43.31,3.63
    TKT-0250,Jul,Central Zone,TV,Dropped Calls,High,Escalated,15.2,27.28,3.86
    TKT-0251,Sep,East Zone,Broadband,Dropped Calls,Low,SLA Breached,6.58,18.36,5.0
    TKT-0252,Apr,East Zone,Landline,No Signal,Low,Escalated,7.78,26.49,4.11
    TKT-0253,May,Central Zone,Mobile,Service Outage,Medium,In Progress,6.24,41.97,3.94
    TKT-0254,Aug,North Zone,Broadband,Installation Delay,Low,In Progress,5.16,27.93,4.2
    TKT-0255,Apr,North Zone,Broadband,Slow Internet,Medium,Escalated,5.63,64.05,3.84
    TKT-0256,Aug,South Zone,Mobile,Dropped Calls,High,SLA Breached,16.22,66.81,2.8
    TKT-0257,Dec,South Zone,TV,Installation Delay,Low,Resolved,18.92,40.15,3.7
    TKT-0258,Dec,South Zone,Broadband,Installation Delay,Medium,SLA Breached,8.61,24.69,4.75
    TKT-0259,Mar,North Zone,Landline,Dropped Calls,Low,In Progress,17.24,70.31,2.71
    TKT-0260,May,West Zone,Landline,No Signal,Medium,In Progress,19.77,76.64,2.98
    TKT-0261,Feb,South Zone,Broadband,Dropped Calls,Low,SLA Breached,17.27,37.95,3.13
    TKT-0262,Jun,East Zone,Broadband,Dropped Calls,High,SLA Breached,14.18,29.48,3.79
    TKT-0263,Jul,Central Zone,Mobile,Billing Error,Low,Resolved,16.42,34.42,3.68
    TKT-0264,Jan,West Zone,Broadband,No Signal,High,SLA Breached,6.49,36.56,4.07
    TKT-0265,Oct,South Zone,TV,Slow Internet,Medium,Resolved,16.0,56.8,3.41
    TKT-0266,Sep,West Zone,Landline,Service Outage,Medium,In Progress,17.6,69.23,3.3
    TKT-0267,Sep,South Zone,Broadband,Slow Internet,Low,SLA Breached,7.23,32.51,4.34
    TKT-0268,Apr,South Zone,Landline,Service Outage,Low,In Progress,10.87,41.5,4.39
    TKT-0269,Aug,Central Zone,Mobile,Service Outage,Medium,SLA Breached,7.72,37.1,3.7
    TKT-0270,Mar,Central Zone,Landline,Installation Delay,Low,SLA Breached,13.41,53.58,3.51
    TKT-0271,Feb,South Zone,TV,Billing Error,Low,Resolved,14.55,32.0,3.42
    TKT-0272,Oct,Central Zone,TV,Billing Error,Low,SLA Breached,10.6,26.72,3.77
    TKT-0273,Jan,North Zone,Mobile,Billing Error,High,Escalated,17.02,65.35,3.33
    TKT-0274,Jan,North Zone,Mobile,Billing Error,Low,Escalated,15.29,74.85,2.67
    TKT-0275,Dec,East Zone,TV,Slow Internet,Medium,SLA Breached,8.04,46.32,3.61
    TKT-0276,Jun,Central Zone,Mobile,Slow Internet,Low,Resolved,16.74,29.55,3.17
    TKT-0277,Mar,South Zone,TV,Dropped Calls,High,SLA Breached,7.79,57.92,4.0
    TKT-0278,Jun,South Zone,Landline,Service Outage,Low,Escalated,12.45,44.29,4.5
    TKT-0279,Sep,West Zone,Mobile,Slow Internet,Medium,In Progress,14.15,30.92,3.55
    TKT-0280,Apr,Central Zone,Mobile,Billing Error,Medium,In Progress,5.54,29.33,3.87
    TKT-0281,Jul,West Zone,Mobile,Installation Delay,Medium,Escalated,11.75,60.59,3.41
    TKT-0282,Aug,East Zone,Landline,Installation Delay,Medium,Escalated,7.09,43.71,4.14
    TKT-0283,Jan,East Zone,TV,Service Outage,Low,Escalated,5.33,48.52,3.9
    TKT-0284,Jul,Central Zone,Mobile,Installation Delay,Medium,Resolved,12.42,71.4,3.03
    TKT-0285,May,East Zone,TV,Installation Delay,High,SLA Breached,10.07,35.5,4.09
    TKT-0286,Sep,North Zone,Broadband,Dropped Calls,High,In Progress,11.06,48.19,3.16
